District,Thana,Area,Post Code,Home Delivery,Lockdown,Charge(1kg),Charge(2kg),Charge(3kg),COD Charge,
Dhaka,Dhaka,Mohammadpur(Dhaka),1207,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dhanmondi - Rd 3,1209,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Gulshan,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kallyanpur,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shyamoli,1207,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Adabor,1207,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Darussalam,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Gabtoli,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Pallabi,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Lalmatia,1207,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mirpur DOHS,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kochukhet,1206,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Gudaraghat (Badda),1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Agargaon,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Monipur,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sher-E-Bangla Nagar,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Ibrahimpur,1206,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Cantonment Post Office,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mirpur Cantonment,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kafrul,1206,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Vashantek,1206,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Manikdi,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Matikata,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,M.E.S,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Rupnagar Residential Area,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Duaripara,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Rainkhola,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mirpur Diabari,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mazar Road,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shagufta,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bawnia,1230,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Baigertek,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Madina nagar,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dewanpara,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Namapara,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mastertek,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Balughat,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Barontek,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Goltek,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kurmitola,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shewra,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Ainusbag,1230,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Uttarkhan,1230,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dakshinkhan,1230,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Fayedabad,1230,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Ashkona,1230,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kuril,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Khilkhet,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nikunja,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sonali Bank Staff Quarter,1230,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Hajipara (Rampura),1219,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kawla,1230,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Naddapara (Dakshinkhan Hub ),1230,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bashundhara R/A,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Vatara,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nadda,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Baridhara,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Baridhara DOHS,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Notun Bazar,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Adarsha Nagar (Badda),1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shahjadpur,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Uttor Badda,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Middle Badda,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,South Badda,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Merul Badda,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Niketon,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Banani,1213,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Banani DOHS,1213,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mohakhali,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mohakhali DOHS,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,South Monipur,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shah Ali Bag,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Aziz Palli,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bashtola,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,South Baridhara DIT Project,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Aftabnagar,1212,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bijoy Shoroni,1215,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Farmgate,1215,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Indira Road,1215,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Tejgaon,1208,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Tejkunipara,1215,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Razabazar,1215,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sukrabad,1215,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Panthopath,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kalabagan,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Green Road,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Manik Mia Avenue,1225,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Asad Avenue,1207,Yes,No,60,75,90,0%,
Dhaka,Dhaka,West Dhanmondi,1209,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shankar,1209,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Rayer Bazar,1209,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Tallabag,1209,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Hazaribag,1209,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Pilkhana,1209,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nawabgonj Puran Dhaka,1320,Yes,No,60,75,90,0%,
Dhaka,Dhaka,New Market,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Azimpur,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nilkhet,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Lalbagh,1211,Yes,No,60,75,90,0%,
