District,Upazila,Area,Post Code,Home Delivery,Lockdown,Charge(1kg),Charge(2kg),Charge(3kg),COD Charge,,
Dhaka,Mohammadpur(Dhaka),Mohammadpur(Dhaka),1207,Yes,No,60,75,90,0%,,
Dhaka,Dhanmondi,Dhanmondi,1209,Yes,No,60,75,90,0%,,
Dhaka,Gulshan,Gulshan,1212,Yes,No,60,75,90,0%,,
Dhaka,Kallyanpur,Kallyanpur,1216,Yes,No,60,75,90,0%,,
Dhaka,Shyamoli,Shyamoli,1207,Yes,No,60,75,90,0%,,
Dhaka,Adabor,Adabor,1207,Yes,No,60,75,90,0%,,
Dhaka,Darussalam,Darussalam,1216,Yes,No,60,75,90,0%,,
Dhaka,Gabtoli,Gabtoli,1216,Yes,No,60,75,90,0%,,
Dhaka,Pallabi,Pallabi,1216,Yes,No,60,75,90,0%,,
Dhaka,Lalmatia,Lalmatia,1207,Yes,No,60,75,90,0%,,
Dhaka,Mirpur DOHS,Mirpur DOHS,1216,Yes,No,60,75,90,0%,,
Dhaka,Kochukhet,Kochukhet,1206,Yes,No,60,75,90,0%,,
Dhaka,Gudaraghat,Gudaraghat,1212,Yes,No,60,75,90,0%,,
Dhaka,Agargaon,Agargaon,1216,Yes,No,60,75,90,0%,,
Dhaka,Monipur,Monipur,1216,Yes,No,60,75,90,0%,,
Dhaka,Sher-E-Bangla Nagar,Sher-E-Bangla Nagar,1205,Yes,No,60,75,90,0%,,
Dhaka,Ibrahimpur,Ibrahimpur,1206,Yes,No,60,75,90,0%,,
Dhaka,Dhaka Cantonment,Dhaka Cantonment,1212,Yes,No,60,75,90,0%,,
Dhaka,Mirpur Cantonment,Mirpur Cantonment,1216,Yes,No,60,75,90,0%,,
Dhaka,Kafrul,Kafrul,1206,Yes,No,60,75,90,0%,,
Dhaka,Vashantek,Vashantek,1206,Yes,No,60,75,90,0%,,
Dhaka,Manikdi,Manikdi,1216,Yes,No,60,75,90,0%,,
Dhaka,Matikata,Matikata,1216,Yes,No,60,75,90,0%,,
Dhaka,M.E.S,M.E.S,1212,Yes,No,60,75,90,0%,,
Dhaka,Rupnagar Residential Area,Rupnagar Residential Area,1216,Yes,No,60,75,90,0%,,
Dhaka,Duaripara,Duaripara,1216,Yes,No,60,75,90,0%,,
Dhaka,Rainkhola,Rainkhola,1216,Yes,No,60,75,90,0%,,
Dhaka,Mirpur Diabari,Mirpur Diabari,1216,Yes,No,60,75,90,0%,,
Dhaka,Mazar Road,Mazar Road,1216,Yes,No,60,75,90,0%,,
Dhaka,Shagufta,Shagufta,1216,Yes,No,60,75,90,0%,,
Dhaka,Bawnia,Bawnia,1230,Yes,No,60,75,90,0%,,
Dhaka,Baigertek,Baigertek,1216,Yes,No,60,75,90,0%,,
Dhaka,Madina nagar,Madina nagar,1216,Yes,No,60,75,90,0%,,
Dhaka,Dewanpara,Dewanpara,1216,Yes,No,60,75,90,0%,,
Dhaka,Namapara,Namapara,1229,Yes,No,60,75,90,0%,,
Dhaka,Mastertek,Mastertek,1216,Yes,No,60,75,90,0%,,
Dhaka,Balughat,Balughat,1216,Yes,No,60,75,90,0%,,
Dhaka,Barontek,Barontek,1216,Yes,No,60,75,90,0%,,
Dhaka,Goltek,Goltek,1216,Yes,No,60,75,90,0%,,
Dhaka,Kurmitola,Kurmitola,1229,Yes,No,60,75,90,0%,,
Dhaka,Shewra,Shewra,1229,Yes,No,60,75,90,0%,,
Dhaka,Uttara,Uttara,1230,Yes,No,60,75,90,0%,,
Dhaka,Uttarkhan,Uttarkhan,1230,Yes,No,60,75,90,0%,,
Dhaka,Dakshinkhan,Dakshinkhan,1230,Yes,No,60,75,90,0%,,
Dhaka,Fayedabad,Fayedabad,1230,Yes,No,60,75,90,0%,,
Dhaka,Ashkona,Ashkona,1230,Yes,No,60,75,90,0%,,
Dhaka,Kuril,Kuril,1229,Yes,No,60,75,90,0%,,
Dhaka,Khilkhet,Khilkhet,1229,Yes,No,60,75,90,0%,,
Dhaka,Nikunja,Nikunja,1229,Yes,No,60,75,90,0%,,
Dhaka,Azampur,Azampur,1230,Yes,No,60,75,90,0%,,
Dhaka,Hajipara,Hajipara,1230,Yes,No,60,75,90,0%,,
Dhaka,Kawla,Kawla,1230,Yes,No,60,75,90,0%,,
Dhaka,Naddapara,Naddapara,1229,Yes,No,60,75,90,0%,,
Dhaka,Bashundhara R/A,Bashundhara R/A,1229,Yes,No,60,75,90,0%,,
Dhaka,Vatara,Vatara,1229,Yes,No,60,75,90,0%,,
Dhaka,Nadda,Nadda,1229,Yes,No,60,75,90,0%,,
Dhaka,Baridhara,Baridhara,1212,Yes,No,60,75,90,0%,,
Dhaka,Baridhara DOHS,Baridhara DOHS,1206,Yes,No,60,75,90,0%,,
Dhaka,Notun Bazar,Notun Bazar,1229,Yes,No,60,75,90,0%,,
Dhaka,Badda,Badda,1212,Yes,No,60,75,90,0%,,
Dhaka,Shahjadpur,Shahjadpur,1212,Yes,No,60,75,90,0%,,
Dhaka,Uttor Badda,Uttor Badda,1212,Yes,No,60,75,90,0%,,
Dhaka,Middle Badda,Middle Badda,1212,Yes,No,60,75,90,0%,,
Dhaka,South Badda,South Badda,1212,Yes,No,60,75,90,0%,,
Dhaka,Merul Badda,Merul Badda,1212,Yes,No,60,75,90,0%,,
Dhaka,Niketon,Niketon,1212,Yes,No,60,75,90,0%,,
Dhaka,Banani,Banani,1213,Yes,No,60,75,90,0%,,
Dhaka,Banani DOHS,Banani DOHS,1213,Yes,No,60,75,90,0%,,
Dhaka,Mohakhali,Mohakhali,1212,Yes,No,60,75,90,0%,,
Dhaka,Mohakhali DOHS,Mohakhali DOHS,1212,Yes,No,60,75,90,0%,,
Dhaka,South Monipur,South Monipur,1216,Yes,No,60,75,90,0%,,
Dhaka,Shah Ali Bag,Shah Ali Bag,1216,Yes,No,60,75,90,0%,,
Dhaka,Aziz Palli,Aziz Palli,1212,Yes,No,60,75,90,0%,,
Dhaka,Bashtola,Bashtola,1229,Yes,No,60,75,90,0%,,
Dhaka,South Baridhara,South Baridhara, DIT Project,1212,Yes,No,60,75,90,0%,
Dhaka,Aftabnagar,Aftabnagar,1212,Yes,No,60,75,90,0%,,
Dhaka,Bijoy Shoroni,Bijoy Shoroni,1215,Yes,No,60,75,90,0%,,
Dhaka,Farmgate,Farmgate,1215,Yes,No,60,75,90,0%,,
Dhaka,Indira Road,Indira Road,1215,Yes,No,60,75,90,0%,,
Dhaka,Tejgaon,Tejgaon,1208,Yes,No,60,75,90,0%,,
Dhaka,Tejkunipara,Tejkunipara,1215,Yes,No,60,75,90,0%,,
Dhaka,Razabazar,Razabazar,1215,Yes,No,60,75,90,0%,,
Dhaka,Sukrabad,Sukrabad,1215,Yes,No,60,75,90,0%,,
Dhaka,Panthopath,Panthopath,1205,Yes,No,60,75,90,0%,,
Dhaka,Kalabagan,Kalabagan,1205,Yes,No,60,75,90,0%,,
